GMID,Dataset,Facility Name,Address,數據集,設施名稱,地址,District,地區,Opening Hours,開放時間,Telephone,聯絡電話,Fax Number,傳真號碼,Email Address,電郵地址,Website,網頁,Scope of Services,服務範圍,Remarks,備註,Northing,Easting,Latitude,Longitude,Last Update
"GsPlOlRqBo","Post Offices","Stanley Post Office","2 Wong Ma Kok Road","郵政局","赤柱郵政局","黃麻角道2號","SOUTHERN","南區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","808836.0","840020.0","22.21818","114.21326","2020-01-06 02:59:54"
"fCzRzUHooe","Post Offices","So Uk Post Office","Shop No. 2, Free Standing Block No. 2 (Near Cherry House), So Uk Estate, Sham Shui Po","郵政局","蘇屋郵政局","深水埗蘇屋邨獨立單位2 號(近櫻桃樓)鋪位編號2","SHAM SHUI PO","深水埗區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","822448.0","834174.0","22.34111","114.15655","2019-06-29 07:28:46"
"12x4JDAfUT","Post Offices","Kam Tai Post Office","Shop No. 3, G/F, Kam Tai Shopping Centre, Kam Tai Court, Ma On Shan","郵政局","錦泰郵政局","馬鞍山錦泰苑錦泰商場地下3號","SHA TIN","沙田區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","829952.0","840903.0","22.40887","114.22189","2019-06-29 07:22:27"
"RAlzoICCLr","Post Offices","Kwong Yuen Post Office","Shop No. 4, Block 4, Kwong Yuen Shopping Centre, Kwong Yuen Estate, Sha Tin","郵政局","廣源郵政局","沙田廣源邨廣源商場第四座4號","SHA TIN","沙田區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","826829.0","840313.0","22.38067","114.21615","2019-05-31 10:41:59"
"kGjOnM66bc","Post Offices","Cheung Sha Wan Post Office","Ground Floor, China Shipbuilding Tower, 646 Cheung Sha Wan Road, Cheung Sha Wan","郵政局","長沙灣郵政局","長沙灣長沙灣道646號中國船舶大廈地下","SHAM SHUI PO","深水埗區","9:30 a.m. - 5:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>Bulk Posting Acceptance & Circular Service<br>P.O. Box<br>Philately","一般郵政服務<br>大量投寄 & 通函郵寄服務<br>郵政信箱<br>集郵","N.A.","N.A.","822192.0","833731.0","22.3388","114.15225","2019-05-28 03:14:29"
"eZzLD5MOV9","Post Offices","Hennessy Road Post Office","Shop 105, 1/F, One Hennessy, 1 Hennessy Road, Wan Chai","郵政局","軒尼詩道郵政局","灣仔軒尼詩道1號 One Hennessy 1樓 105號鋪","WAN CHAI","灣仔區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>Philately","一般郵政服務<br>集郵","N.A.","N.A.","815468.0","835453.0","22.27808","114.16897","2019-05-28 03:06:43"
"NMySiSrx7p","Post Offices","Wyndham Street Post Office","G/F, Hoseinee House, 69 Wyndham Street","郵政局","雲咸街郵政局","雲咸街69號賀善尼大廈地下","CENTRAL AND WESTERN","中西區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","815861.0","834005.0","22.28162","114.15492","2019-02-21 08:34:16"
"tlSt10XVHl","Post Offices","Tin Yiu Post Office","Shop L122, 1/F, Tin Yiu Plaza, Tin Yiu Estate, Tin Shui Wai","郵政局","天耀郵政局","天水圍天耀邨天耀廣場1樓L122號舖位","YUEN LONG","元朗區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br/>Philately","一般郵政服務<br/>集郵","N.A.","N.A.","834586.0","818501.0","22.45063","114.00427","2019-02-21 08:28:13"
"Ys0WT38twK","Post Offices","Ma On Shan Post Office","Unit 2, G/F, MOSTown, 18 On Luk Street, Ma On Shan","郵政局","馬鞍山郵政局","馬鞍山鞍祿街18號新港城地下2號","SHA TIN","沙田區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>Bulk Posting Acceptance & Circular Service<br>P.O. Box<br>Philately","一般郵政服務<br>大量投寄 & 通函郵寄服務<br>郵政信箱<br>集郵","N.A.","N.A.","831682.0","841976.0","22.42449","114.23232","2018-08-17 05:54:23"
"LvdXVFAo6U","Post Offices","Kowloon Bay Post Office","Shop 1&3, 1/F, Tower 1,Enterprise Square One,9 Sheung Yuet Road,KOWLOON BAY,KOWLOON","郵政局","九龍灣郵政局","九龍九龍灣常悅道9號企業廣場一期1座1樓1&3號舖","KWUN TONG","觀塘區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","820336.0","839460.0","22.32203","114.20786","2018-05-02 07:55:51"
"Tw8h0U2aq2","Post Offices","Shek Lei Post Office","Shop 231, 2/F Shek Lei Shopping Centre Phase II, Kwai Chung","郵政局","石籬郵政局","葵涌石籬商場二期2樓231號鋪","KWAI TSING","葵青區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","825157.0","832383.0","22.36557","114.13915","2018-02-05 09:33:57"
"qR3wRpFR9m","Post Offices","Wo Che Post Office","Shop No. 313, 3/F, Wo Che Plaza, Wo Che Estate, Shatin","郵政局","禾輋郵政局","沙田禾輋邨禾輋廣場3樓13號舖","SHA TIN","沙田區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","827648.0","838160.0","22.38807","114.19525","2018-01-22 07:35:23"
"Dy3TEctxIU","Post Offices","Tseung Kwan O Post Office","Shop No. 14C, G/F, Ming Tak Shopping Centre, Ming Tak Estate, Tseung Kwan O","郵政局","將軍澳郵政局","將軍澳明德邨明德商場地下14C號舖","SAI KUNG","西貢區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>P.O. Box<br>Philately","一般郵政服務<br>郵政信箱<br>集郵","N.A.","N.A.","819698.0","845721.0","22.31625","114.26862","2017-09-04 01:25:01"
"O7V2mrNHMx","Post Offices","Wah Ming Post Office","Shop G43, G/F, Wah Ming Shopping Centre, Wah Ming Estate, Fanling","郵政局","華明郵政局","新界粉嶺華明路21號華明邨華明商場地下G43號舖","NORTH","北區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","838285.0","832566.0","22.48412","114.1409","2017-09-04 01:23:47"
"xeckHCy8Li","Post Offices","Fu Tai Post Office","Shop No.210B, 2/F, Fu Tai Shopping Centre, Fu Tai Estate, Tuen Mun","郵政局","富泰郵政局","屯門富泰邨富泰商場2樓210B號","TUEN MUN","屯門區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","830515.0","816344.0","22.41384","113.98336","2017-08-15 10:36:41"
"Vl7EHnwwgx","Post Offices","Tsuen Wan Post Office","1/F, Tsuen Wan Government Offices Building, 38 Sai Lau Kok Road, Tsuen Wan","郵政局","荃灣郵政局","荃灣西樓角路38號荃灣政府合署1樓","TSUEN WAN","荃灣區","9:00 a.m.- 5:00 p.m. Mon to Fri<br>9:00 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時至下午五時<br>星期六上午九時至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>Bulk Posting Acceptance & Circular Service<br>P.O. Box<br>Philately","一般郵政服務<br>大量投寄 & 通函郵寄服務<br>郵政信箱<br>集郵","","","826122.0","829956.0","22.37428","114.11559","2017-03-22 08:15:52"
"TdkjPQplWG","Post Offices","Kwun Tong Post Office","Unit A & Unit B, Ground Floor, 52 Hung To Road, Kwun Tong, Kowloon","郵政局","觀塘郵政局","觀塘鴻圖道52號地下A及B室","KWUN TONG","觀塘區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>P.O. Box<br>Philately","一般郵政服務<br>郵政信箱<br>集郵","N.A.","N.A.","819036.0","840934.0","22.31029","114.22216","2017-03-20 08:48:59"
"5xDwYLLHrs","Post Offices","Causeway Bay Post Office","Shops No.1015-1018, 10/F, Windsor House, 311 Gloucester Road, Causeway Bay","郵政局","銅鑼灣郵政局","銅鑼灣告士打道311號皇室堡10樓1015至1018號舖","WAN CHAI","灣仔區","10:30 a.m. - 6:00 p.m. Mon to Fri<br>10:30 a.m. - 2:00 p.m. Sat","星期一至星期五上午十時三十分至下午六時<br>星期六上午十時三十分至下午二時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","815720.0","837270.0","22.28035","114.1866","2017-03-13 10:06:48"
"FpHbdPfaZh","Post Offices","General Post Office","2 Connaught Place, Central","郵政局","郵政總局","中環康樂廣場2號","CENTRAL AND WESTERN","中西區","8:00 a.m. - 6:00 p.m. Mon to Sat <br> (Philatelic Service: 10:00 a.m. to 6:00 p.m Mon to Sat)<br>12:00 p.m. - 5:00 p.m. Sun & Public Holidays","星期一至星期六上午八時至下午六時 <br> (集郵服務:星期一至六上午十時下午六時)<br>星期日及公眾假期下午十二時至下午五時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>Bulk Posting Acceptance & Circular Service<br>P.O. Box<br>Philately","一般郵政服務<br>大量投寄 & 通函郵寄服務<br>郵政信箱<br>集郵","N.A.","N.A.","816065.0","834468.0","22.28347","114.15941","2017-02-03 08:09:58"
"piXkR5yt3r","Post Offices","Butterfly Post Office","Shop Nos. R146 and R147, G/F, Tip Sum House, Butterfly Estate, Tuen Mun","郵政局","蝴蝶郵政局","屯門蝴蝶邨蝶心樓地下R146至R147號","TUEN MUN","屯門區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>Philately","一般郵政服務<br>集郵","N.A.","N.A.","826166.0","814239.0","22.37454","113.96298","2016-12-13 05:40:15"
"DOaBTh0U33","Post Offices","Lok Fu Post Office","Shop No. 3152, 3rd floor, Lok Fu Place, Lok Fu Estate","郵政局","樂富郵政局","樂富邨樂富廣場3樓3152號","WONG TAI SIN","黃大仙區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","822237.0","837283.0","22.3392","114.18673","2016-08-27 03:43:36"
"16f7HmPkzp","Post Offices","Hung Hom Bay Post Office","G/F, Block 14, Cherry Mansions, Whampoa Garden, Hunghom","郵政局","紅磡灣郵政局","紅磡黃埔花園錦桃苑第十四座地下","KOWLOON CITY","九龍城區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>P.O. Box<br>Philately","一般郵政服務<br>郵政信箱<br>集郵","N.A.","N.A.","818396.0","837450.0","22.30452","114.18835","2016-03-01 09:19:11"
"cAhn9uWaXh","Post Offices","Ngau Tau Kok Post Office","Shop No.13, On Kay Commercial Centre, Ngau Tau Kok","郵政局","牛頭角郵政局","牛頭角安基商場地下十三號舖","KWUN TONG","觀塘區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","820382.0","840413.0","22.32245","114.21711","2016-02-24 09:22:25"
"bJLnpUGsJx","Post Offices","Concorde Road Post Office","G/F, Trade and Industry Tower, 3 Concorde Road, Kai Tak","郵政局","協調道郵政局","啟德協調道3號工業貿易大樓地下","KOWLOON CITY","九龍城區","9:30 a.m. - 5:00 p.m. Mon to Fri<br><br/><br/>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br><br/><br/>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br><br/><br/>P.O. Box","一般郵政服務<br><br/><br/>郵政信箱","N.A.","N.A.","821510.0","838418.0","22.33264","114.19774","2015-06-29 09:24:57"
"cTw85OXob0","Post Offices","Yau Yat Tsuen Post Office","G/F, 11A Fa Po Street, Yau Yat Tsuen","郵政局","又一村郵政局","又一村花圃街11A號地下","SHAM SHUI PO","深水埗區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","821366.0","836151.0","22.33134","114.17574","2015-02-02 08:51:34"
"dxfWz7a6qB","Post Offices","Yau Tong Post Office","Unit 14, G/F, Wing Tong House, Yau Tong Estate, Kowloon","郵政局","油塘郵政局","九龍油塘邨榮塘樓地下14號舖","KWUN TONG","觀塘區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","817784.0","842568.0","22.29898","114.23801","2015-02-02 08:51:14"
"wF5KHKaUKH","Post Offices","Wan Tau Tong Post Office","Shop No. CX28, Shopping Centre, Wan Tau Tong Estate, Tai Po","郵政局","運頭塘郵政局","大埔運頭塘邨商場CX28號舖位","TAI PO","大埔區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","833627.0","835239.0","22.44206","114.16688","2015-02-02 08:48:37"
"b5MUJE2UKR","Post Offices","Wah Fu Post Office","423-424 Wah Chun House, Wah Fu Estate","郵政局","華富郵政局","華富邨華珍樓地下423至424室","SOUTHERN","南區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","812428.0","832070.0","22.25062","114.13615","2015-02-02 08:46:16"
"Jp39C4XfsM","Post Offices","Tsing Yi Post Office","Shop 1, G/F, Hong Kwai House, Cheung Hong Estate","郵政局","青衣郵政局","長康邨康貴樓地下1號舖位","KWAI TSING","葵青區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","823312.0","828912.0","22.3489","114.10546","2015-02-02 08:45:59"
"tLtWx0H1W7","Post Offices","Tsuen Wan West Post Office","G/F, Bayview Garden, 633 Castle Peak Road, Tsuen Wan","郵政局","荃灣西郵政局","荃灣青山公路633號灣景花園地下","TSUEN WAN","荃灣區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","825692.0","828336.0","22.37039","114.09986","2015-02-02 08:43:45"
"PULdYBTQX1","Post Offices","Tsz Wan Shan Post Office","Shop 330, 3/F., Tsz Wan Shan Shopping Centre, 23 Yuk Wah Street","郵政局","慈雲山郵政局","毓華街23號慈雲山中心3樓330號舖","WONG TAI SIN","黃大仙區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","823148.0","838678.0","22.34743","114.20027","2015-02-02 08:43:11"
"zkpPZv3S9u","Post Offices","Tai Kok Tsui Post Office","G/F, 67 Anchor Street, Tai Kok Tsui","郵政局","大角咀郵政局","大角咀晏架街67號地下","YAU TSIM MONG","油尖旺區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","820127.0","834902.0","22.32015","114.16362","2015-02-02 08:42:36"
"68QcHy7gRg","Post Offices","Tai Hing Post Office","G/F, Shop 63, Commercial Complex, Tai Hing Estate, Tuen Mun","郵政局","大興郵政局","屯門大興邨商場地下63號舖位","TUEN MUN","屯門區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","829285.0","814997.0","22.40272","113.9703","2015-02-02 08:41:44"
"Iyxm7RzsIz","Post Offices","Shek Wai Kok Post Office","Units S8 & S9, G/F, Shek Fong House, Shek Wai Kok Estate, Tsuen Wan","郵政局","石圍角郵政局","荃灣石圍角邨石芳樓地下S8及S9號舖位","TSUEN WAN","荃灣區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","826176.0","830850.0","22.37477","114.12427","2015-02-02 08:41:09"
"tBBvRncZzY","Post Offices","Sha Tau Kok Post Office","G/F, Sha Tau Kok Government Offices Building, Sha Tau Kok Main Road","郵政局","沙頭角郵政局","沙頭角公路沙頭角政府合署地下","NORTH","北區","9:00 a.m. - 4:00 p.m. Mon to Fri<br>9:00 a.m. - 12:30 p.m. Sat","星期一至星期五上午九時至下午四時<br>星期六上午九時至下午十二時三十分","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>P.O. Box","一般郵政服務<br>郵政信箱","N.A.","N.A.","845104.0","841144.0","22.5457","114.22428","2015-02-02 08:40:14"
"38NqKi2fKZ","Post Offices","San Tin Post Office","1A Castle Peak Road, San Tin Section","郵政局","新田郵政局","青山公路新田段1A號","YUEN LONG","元朗區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>P.O. Box","一般郵政服務<br>郵政信箱","N.A.","N.A.","839924.0","826108.0","22.4989","114.07814","2015-02-02 08:39:35"
"99f21GdmVD","Post Offices","Sun Chui Post Office","Shop No. 8, G/F, Commercial Centre, Sun Chui Estate, Sha Tin","郵政局","新翠郵政局","沙田新翠邨商場地下8號舖位","SHA TIN","沙田區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","825559.0","836710.0","22.3692","114.18117","2015-02-02 08:38:30"
"kelzYMvEDo","Post Offices","Sau Mau Ping Post Office","Shop 25, G/F, Sau Mau Ping Shopping Centre, Sau Mau Ping Estate, Sau Ming Road, Kowloon","郵政局","秀茂坪郵政局","九龍秀明道秀茂坪邨秀茂坪商場地下25號舖","KWUN TONG","觀塘區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","820069.0","841953.0","22.31962","114.23205","2015-02-02 08:37:49"
"qUMNxbTugB","Post Offices","Shek Kip Mei Post Office","Shop 132 &134, Ground Floor, Block 19, Shek Kip Mei Estate, Kowloon,(Please use entrance at Woh Chai Street)","郵政局","石硤尾郵政局","九龍石硤尾邨第19座地下132及134號舖 (請使用窩仔街入口)","SHAM SHUI PO","深水埗區","99:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","821440.0","835240.0","22.33201","114.1669","2015-02-02 08:35:58"
"89TJfupjYO","Post Offices","Sheung Tak Post Office","Shop 229, 2/F, Sheung Tak Shopping Centre, Sheung Tak Estate, Tseung Kwan O","郵政局","尚德郵政局","將軍澳尚德邨尚德商場2樓229號舖位","SAI KUNG","西貢區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","819117.0","844721.0","22.31101","114.25891","2015-02-02 08:35:08"
"xjbePLrvdQ","Post Offices","Shun Lee Post Office","G/F, Shops 17-18, Lee Foo House, Shun Lee Estate","郵政局","順利郵政局","順利邨利富樓地下17及18號舖位","KWUN TONG","觀塘區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","821207.0","841426.0","22.32989","114.22694","2015-02-02 08:34:30"
"aPklDBA3YB","Post Offices","Sha Kok Post Office","Shop No. 245, 2/F, Sha Kok Shopping Centre, Sha Kok Estate, Shatin","郵政局","沙角郵政局","沙田沙角邨沙角商場2樓245號舖","SHA TIN","沙田區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","826471.0","837957.0","22.37744","114.19327","2015-02-02 08:34:13"
"qxrMbowjt3","Post Offices","Repulse Bay Post Office","Unit C, G/F, 2H South Bay Road","郵政局","淺水灣郵政局","南灣道2H號地下C號舖位","SOUTHERN","南區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","810996.0","838509.0","22.23769","114.19861","2015-02-02 08:33:18"
